"","Strike","Bid","Ask","Price","InTheMoney"
"1",10,11.1,15.05,13.075,TRUE
"2",11,10.15,14.1,12.125,TRUE
"3",13,8.25,12.2,10.225,TRUE
"4",14,7.35,11.2,9.275,TRUE
"5",15,6.6,10.25,8.425,TRUE
"6",16,5.9,9.35,7.625,TRUE
"7",17,5.35,8.5,6.925,TRUE
"8",18,4.85,7.7,6.275,FALSE
"9",19,5.65,7.05,6.35,FALSE
"10",20,5.15,6.4,5.775,FALSE
"11",21,3.75,5.4,4.575,FALSE
"12",22,3.5,5,4.25,FALSE
"13",23,4.1,4.7,4.4,FALSE
"14",24,3,4.2,3.6,FALSE
"15",25,2.82,3.9,3.36,FALSE
"16",26,2.63,3.65,3.14,FALSE
"17",27,2.45,3.6,3.025,FALSE
"18",28,2.29,3.2,2.745,FALSE
"19",29,2.5,3,2.75,FALSE
"20",30,2.33,2.82,2.575,FALSE
"21",31,2.18,2.65,2.415,FALSE
"22",32,2.03,2.5,2.265,FALSE
"23",33,1.9,2.36,2.13,FALSE
"24",34,1.97,2.23,2.1,FALSE
"25",35,1.67,2.11,1.89,FALSE
"26",36,1.56,2,1.78,FALSE
"27",37,1.47,1.9,1.685,FALSE
"28",38,1.38,1.8,1.59,FALSE
"29",39,1.3,1.72,1.51,FALSE
"30",40,1.23,1.63,1.43,FALSE
"31",45,0.92,1.31,1.115,FALSE
"32",47.5,0.93,1.18,1.055,FALSE
"33",50,0.9,1.07,0.985,FALSE
"34",55,0.54,0.89,0.715,FALSE
"35",60,0.41,0.75,0.58,FALSE
"36",85,0.26,0.38,0.32,FALSE
"37",90,0.22,0.34,0.28,FALSE
"38",95,0.19,0.31,0.25,FALSE
"39",100,0.17,0.28,0.225,FALSE
"40",110,0.13,0.24,0.185,FALSE
"41",120,0.1,0.21,0.155,FALSE
